編號,名稱,地區,類型,地區/大樓,地址,緯度,經度,營業時間,評分,每人價位,GoogleMaps連結,核實日期
64,松籟庵 Shoraian,京都,豆腐懷石｜蔬食友善,嵐山・右京區（渡月橋上游・獨立店面）,京都市右京区嵯峨亀ノ尾町官有地内,35.01000,135.67060,週一-四 11:00-17:00；週五-日假日 11:00-20:00；週三公休（紅葉季除外）,嵐山豆腐懷石（官網）,"約 ¥4,000–10,000／人","https://www.google.com/maps/search/?api=1&query=35.01000,135.67060",2026-07-14
65,Choice,京都,純素 Vegan・無麩質｜咖啡・鬆餅,三條・東山區（三条京阪・鈴木形成外科ビル 1F）,京都市東山区大橋町 89-1 鈴木形成外科ビル 1F,35.00920,135.77340,9:30-21:00（LO 20:00）；週三公休,HappyCow 高評（查無 Google）,"約 ¥1,500–2,500／人","https://www.google.com/maps/search/?api=1&query=35.00920,135.77340",2026-07-14
66,mumokuteki cafe Kyoto,京都,純素 Vegan｜咖啡・定食,寺町・中京區（四条河原町・ヒューマンフォーラムビル 2F）,京都市中京区伊勢屋町 351 ヒューマンフォーラムビル 2F,35.00560,135.76650,11:30-20:00（LO 19:00）；週三公休,人氣純素定食（查無 Google）,"約 ¥1,300–2,000／人","https://www.google.com/maps/search/?api=1&query=35.00560,135.76650",2026-07-14
67,Veg Out,京都,純素 Vegan｜咖啡・早午餐,七條・下京區（鴨川沿・鴨川ビル 1F）,京都市下京区七条通加茂川筋西入ル稲荷町 448 鴨川ビル 1F,34.99230,135.76870,早餐 9:00-10:30 LO／午餐 11:30-15:00／咖啡 -18:00（LO 17:00）,"IG 8,200 追蹤（查無 Google）","約 ¥1,200–2,000／人","https://www.google.com/maps/search/?api=1&query=34.99230,135.76870",2026-07-14
68,Ain Soph. Journey Kyoto,京都,純素 Vegan｜咖啡・漢堡・甜點,河原町・中京區（新京極・獨立店面）,京都市中京区新京極通四条上ル中之町 538-6,35.00420,135.76740,約 11:30-20:00（晚間常不定休，建議看 IG/電話確認）,AIN SOPH 集團（查無 Google）,"約 ¥1,500–2,500／人","https://www.google.com/maps/search/?api=1&query=35.00420,135.76740",2026-07-14
70,VOG Kyoto（Vegan Indian）,京都,純素 Vegan・無麩質｜印度料理,河原町・中京區（四条河原町徒步圈）,京都市中京区（四条河原町 downtown，建議 Google 定位）,35.00450,135.76800,週一-四 12:00-15:30 / 17:30-22:30；週六日 11:30-15:30 / 17:30-22:30；週一公休,Tripadvisor 2024-25（查無 Google）,"約 ¥1,500–2,500／人","https://www.google.com/maps/search/?api=1&query=35.00450,135.76800",2026-07-14
71,MERCY Vegan Factory 京都駅店,京都,純素 Vegan｜餐酒館・定食,京都車站・下京區（ホテルエリートイン京都駅 B1F）,京都市下京区東堀川通下魚棚下る鎌屋町 3 B1F,34.98720,135.75350,週一・三-日 8:30-17:00 / 18:00-22:00；週二公休,2024 開幕・IG 活躍,"約 ¥1,200–2,500／人","https://www.google.com/maps/search/?api=1&query=34.98720,135.75350",2026-07-14
72,Premarché Gelateria 三条本店,京都,義式冰淇淋｜含純素選項,三条・中京區（二条城近・獨立店面）,京都市中京区三条通猪熊西入 御供町 308,35.01130,135.74560,週一二四 12:00-18:00；週五六日 12:00-20:00；週三公休,Yelp 2026/5（查無 Google）,約 ¥500–900／人,"https://www.google.com/maps/search/?api=1&query=35.01130,135.74560",2026-07-14
73,Vegan Ramen UZU Kyoto,京都,純素 Vegan｜拉麵（teamLab 藝術空間）,御所南・中京區（獨立店面）,京都市中京区梅之木町 146,35.01660,135.76090,需事前預約入場（時段見官網）,米其林 2024 收錄,"約 ¥1,800–3,000／人","https://www.google.com/maps/search/?api=1&query=35.01660,135.76090",2026-07-14
74,Kyoto Engine Ramen 京都炎神,京都,純素 Vegan・無麩質｜拉麵,河原町・中京區（新京極・獨立店面）,京都市中京区新京極（河原町商圈）,35.00500,135.76730,12:00-22:00（LO 前 30 分）；週二三公休,Tripadvisor 2024（查無 Google）,"約 ¥1,800–2,200／人","https://www.google.com/maps/search/?api=1&query=35.00500,135.76730",2026-07-14
75,らーめん千の風 Sen no Kaze,京都,蔬食友善｜拉麵（含 Vegan/清真）,河原町・中京區（新京極・獨立店面）,京都市中京区新京極通四条上ル中之町 580,35.00430,135.76750,11:30-21:00；週二三公休（現金限定）,Yelp 147 則（查無 Google）,"約 ¥1,000–1,800／人","https://www.google.com/maps/search/?api=1&query=35.00430,135.76750",2026-07-14
76,Vegan Ramen Towzen とうぜん,京都,純素 Vegan｜豆乳拉麵・壽司,下鴨・左京區（獨立店面）,京都市左京区下鴨東高木町 13-4,35.04370,135.77260,11:30-15:00 / 18:00-22:00；週四公休,2004 老店（查無 Google）,"約 ¥1,200–2,000／人","https://www.google.com/maps/search/?api=1&query=35.04370,135.77260",2026-07-14
77,Falafel Garden,京都,蔬食友善｜中東・以色列料理,出町柳・左京區（獨立店面）,京都市左京区田中上柳町 15-2,35.02940,135.77120,平日 11:30-15:00 / 17:30-21:00（LO 20:30）；週末 11:30-21:00；週三公休,Tabelog／Inside Kyoto,"約 ¥1,000–1,800／人","https://www.google.com/maps/search/?api=1&query=35.02940,135.77120",2026-07-14
78,都野菜 賀茂 烏丸店 Yasai Kamo,京都,蔬食友善｜京野菜自助餐 Buffet,京都車站・下京區（大宮通・MINISTOP 建物 2F）,京都市下京区大宮通り木津屋橋上る上之町 439-1,34.98800,135.74980,8:00-16:00 / 17:00-22:00（料理 LO 前 30 分）；元旦・1 月第二週二公休,"午 ¥1,180起（Tabelog）","午 ¥1,180／晚 ¥1,560 起（buffet）","https://www.google.com/maps/search/?api=1&query=34.98800,135.74980",2026-07-14
79,LUU's BAO 純素刈包,奈良,純素 Vegan｜台式刈包專門店,奈良町（ならまち）・中新屋町（獨立店面）,奈良市中新屋町 17-2,34.67802,135.83043,週三-日 11:00-16:30；週一二公休,HappyCow 4.5（149 則）,"約 ¥1,300–2,000／人","https://www.google.com/maps/search/?api=1&query=34.67802,135.83043",2026-07-14
80,onwa オンワ,奈良,純素 Vegan・無麩質｜咖啡・餐廳,三条大宮町・JR 奈良站周邊（獨立町家）,奈良市三条大宮町 3-23,34.67856,135.81614,週一-五・日 11:00-17:00；週六 11:00-20:00（不定休）,Tripadvisor 4.9（41）／Tabelog 3.30,"約 ¥1,000–1,999／人","https://www.google.com/maps/search/?api=1&query=34.67856,135.81614",2026-07-14
81,Naramachi Vegan Nabi 菜美,奈良,純素 Vegan・無麩質｜日式蔬食（需預約）,奈良町（ならまち）・東城戸町,奈良市東城戸町 14-1,34.67856,135.82781,週一・週五-日 12:00-17:00（電話/表單預約）；週二三四公休；售完為止,HappyCow 5.0（66 則）,無麩質午餐（現場確認）,"https://www.google.com/maps/search/?api=1&query=34.67856,135.82781",2026-07-14
82,Kururu 樞（くるる）,奈良,純素 Vegan｜自然派食療咖啡（需預約）,東向南町・近鐵奈良站（井上ビル 2F）,奈良市東向南町 5-1 井上ビル 2F,34.68247,135.82899,需事前預約；現金限定（官網 10:00-18:00；不定休）,Tabelog 3.04（HappyCow 高評）,偏高價位（需預約）,"https://www.google.com/maps/search/?api=1&query=34.68247,135.82899",2026-07-14
83,Somi sweets & coffee 素味,奈良,純素 Vegan・無麩質｜甜點・咖啡（外帶）,法蓮町・北町（獨立町家）,奈良市法蓮町 1232,34.69212,135.82796,11:00-18:00（外帶為主，不定休；建議查 IG）,Tabelog 3.02,甜點單品 ¥400–800,"https://www.google.com/maps/search/?api=1&query=34.69212,135.82796",2026-07-14
84,Vegan Soba Ramusa 楽夢咲,奈良,純素 Vegan｜手打蕎麥（週末限定）,奈良町（ならまち）・中院町,奈良市中院町 27-1,34.67884,135.83128,週六日 12:00-16:00；平日公休,5.0 ★（27 則）,"そば定食 ¥1,650","https://www.google.com/maps/search/?api=1&query=34.67884,135.83128",2026-07-14
85,鹿鳴園 Rokumeien,奈良,蔬食友善｜奈良公園茶屋（素選項有限）,雑司町・奈良公園（東大寺大佛殿往二月堂路上）,奈良市雑司町 407-4,34.68835,135.84265,09:00-17:00（不定休）,3.9 ★（278 則）,約 ¥600–999／人,"https://www.google.com/maps/search/?api=1&query=34.68835,135.84265",2026-07-14
86,China Dining 飛天 Hiten,奈良,蔬食友善｜中華料理（有純素套餐）,東向南町・東向商店街（近鐵奈良站 3 分）,奈良市東向南町 26,34.68271,135.82869,11:00-15:30 / 17:30-21:30；年中無休,4.2 ★（495 則）,"午 ¥1,000–1,999／純素套餐 ¥3,300","https://www.google.com/maps/search/?api=1&query=34.68271,135.82869",2026-07-14
87,Ashura アシュラ,奈良,蔬食友善｜印度・亞洲蔬食,北方町（近奈良町/京終）,奈良市北方町 18-3,34.67429,135.83173,週五-二 12:00-20:00；週三四公休,4.1 ★（73 則）,"約 ¥1,000–2,000／人","https://www.google.com/maps/search/?api=1&query=34.67429,135.83173",2026-07-14
88,Koyomi カフェこよみ,奈良,純素 Vegan・無麩質｜自家菜午餐・甜點,船橋町・近鐵奈良站（約 644m）,奈良市船橋町 22-2,34.68797,135.82197,週三-五 11:30-15:00（LO 14:00）；週一二六日公休（營業日不定，建議先確認）,4.3 ★（21 則）,"午餐套餐約 ¥1,200／人","https://www.google.com/maps/search/?api=1&query=34.68797,135.82197",2026-07-14
89,Vegan Friendly Ramen by Playpen Friends（奈良）,奈良,純素 Vegan｜拉麵,登大路町・奈良公園對面（大樓 2F）,奈良市登大路町 59-12 2F,34.68434,135.83708,週一・週三-日 11:00-17:00；週二公休,4.5 ★（277 則）,"約 ¥1,000–2,000／人（拉麵約 ¥2,000）","https://www.google.com/maps/search/?api=1&query=34.68434,135.83708",2026-07-14
90,高島屋 8F｜印度 BINDU ビンドゥ,大阪,印度料理（8F）,高島屋大阪店 8F・難波（南海ビル）,大阪市中央区難波 5-1-5 高島屋大阪店 8F,34.66506,135.50089,平日 11:00-15:30 / 17:00-22:30；六日祝 11:00-22:30,Tabelog 3.41（131 則）,"午 ¥1,000–1,999／晚 ¥2,000–2,999","https://www.google.com/maps/search/?api=1&query=34.66506,135.50089",2026-07-12
91,高島屋 8F｜ON THE SQUARE,大阪,一汁六菜定食・健康蔬食（8F）,高島屋大阪店 8F・難波,大阪市中央区難波 5-1-5 高島屋大阪店 8F,34.66494,135.50117,平日 11:00-15:30 / 17:00-22:00；六日祝 11:00-22:00,Tabelog 3.39（168 則）,"約 ¥2,000–2,999／人","https://www.google.com/maps/search/?api=1&query=34.66494,135.50117",2026-07-12
92,高島屋 7F｜一凛堂,大阪,義大利麵・喫茶・甜點（7F）,高島屋大阪店 7F・難波,大阪市中央区難波 5-1-5 高島屋大阪店 7F,34.66466,135.50129,11:00-22:00（LO21:00）,Tabelog 3.36（124 則）,"約 ¥1,000–1,999／人","https://www.google.com/maps/search/?api=1&query=34.66466,135.50129",2026-07-12
93,高島屋 B1｜豆狸 稻荷壽司,大阪,稻荷壽司・外帶（B1）,高島屋大阪店 B1・難波,大阪市中央区難波 5-1-5 高島屋大阪店 B1,34.66438,135.50117,10:00-20:00,Tabelog 3.06（51 則）,約 ¥999 以下,"https://www.google.com/maps/search/?api=1&query=34.66438,135.50117",2026-07-12
94,高島屋 B1｜越後屋甚兵衛 飯糰,大阪,飯糰・外帶（B1）,高島屋大阪店 B1・難波,大阪市中央区難波 5-1-5 高島屋大阪店 B1,34.66426,135.50089,約 10:00-20:00（依百貨）,Tabelog 3.04（10 則）,約 ¥999 以下,"https://www.google.com/maps/search/?api=1&query=34.66426,135.50089",2026-07-12
95,高島屋 B1｜泉北堂 石窯麵包,大阪,麵包・外帶（B1）,高島屋大阪店 B1・難波,大阪市中央区難波 5-1-5 高島屋大阪店 B1,34.66438,135.50061,10:00-20:00,Tabelog 3.27（36 則）,單品約數百円,"https://www.google.com/maps/search/?api=1&query=34.66438,135.50061",2026-07-12
96,高島屋 7F｜鼎泰豐,大阪,中華・點心（7F，部分素選項）,高島屋大阪店 7F・難波,大阪市中央区難波 5-1-5 高島屋大阪店 7F,34.66466,135.50049,11:00-22:00（週五六祝 -22:30）,Tabelog 3.31（499 則）,"午 ¥2,000–2,999／晚 ¥3,000–3,999","https://www.google.com/maps/search/?api=1&query=34.66466,135.50049",2026-07-12
97,高島屋 7F｜糖朝 港式甜點,大阪,港式甜點・飲茶（7F）,高島屋大阪店 7F・難波,大阪市中央区難波 5-1-5 高島屋大阪店 7F,34.66494,135.50061,11:00-22:00,Tabelog 3.17（149 則）,"約 ¥1,000–2,999／人","https://www.google.com/maps/search/?api=1&query=34.66494,135.50061",2026-07-12
98,大丸 10F｜タントタント 義式,大阪,義大利料理（10F）,大丸心斎橋店 10F・心齋橋,大阪市中央区心斎橋筋 1-7-1 大丸心斎橋店 10F,34.67432,135.50096,11:00-15:30 / 17:00-22:00（依百貨）,Tabelog 3.31（142 則）,"午 ¥2,000–2,999／晚 ¥3,000–3,999","https://www.google.com/maps/search/?api=1&query=34.67432,135.50096",2026-07-14
99,大丸 10F｜天婦羅圓堂,大阪,天婦羅・京割烹（10F，高價）,大丸心斎橋店 10F・心齋橋,大阪市中央区心斎橋筋 1-7-1 大丸心斎橋店 10F,34.67420,135.50124,11:00-22:00（LO21:00）,Tabelog 3.39（131 則）,"午 ¥6,000 起／晚 ¥10,000–15,000（高價）","https://www.google.com/maps/search/?api=1&query=34.67420,135.50124",2026-07-14
100,大丸 10F｜お茶屋バー 近江榮,大阪,京都茶屋風咖啡・甘味（10F）,大丸心斎橋店 10F・心齋橋,大阪市中央区心斎橋筋 1-7-1 大丸心斎橋店 10F,34.67392,135.50136,11:00-22:00,Tabelog 3.26（35 則）,"約 ¥1,000–2,999／人","https://www.google.com/maps/search/?api=1&query=34.67392,135.50136",2026-07-14
101,大丸 B2｜Café de Paris,大阪,韓系水果甜點咖啡（B2 フードホール）,大丸心斎橋店 B2 心斎橋フードホール・心齋橋,大阪市中央区心斎橋筋 1-7-1 大丸心斎橋店 B2,34.67364,135.50124,約 11:00-20:00（B2 フードホール整體最晚 23:00）,Tabelog 3.24（44 則）,"約 ¥1,000–1,999／人","https://www.google.com/maps/search/?api=1&query=34.67364,135.50124",2026-07-14
102,大丸 B2｜Fruits Belle 水果甜點,大阪,現做水果甜點（B2，2026 新開）,大丸心斎橋店 B2 心斎橋フードホール・心齋橋,大阪市中央区心斎橋筋 1-7-1 大丸心斎橋店 B2,34.67352,135.50096,11:00-22:00（芭菲/可麗餅 LO21:00）,查無（2026-02 新開，尚無評分）,"約 ¥1,000–2,500／人","https://www.google.com/maps/search/?api=1&query=34.67352,135.50096",2026-07-14
103,大丸 B2｜PAINDUCE Park 麵包,大阪,大阪名店麵包坊（B2，可外帶/現吃）,大丸心斎橋店 B2 心斎橋フードホール・心齋橋,大阪市中央区心斎橋筋 1-7-1 大丸心斎橋店 B2,34.67364,135.50068,約 10:00-20:00（イートイン較長）,Tabelog 3.28（66 則）,"約 ¥500–1,000／人","https://www.google.com/maps/search/?api=1&query=34.67364,135.50068",2026-07-14
104,大丸 B1｜りくろーおじさん 起司蛋糕,大阪,大阪名物・現烤起司蛋糕（B1，外帶）,大丸心斎橋店 B1・心齋橋,大阪市中央区心斎橋筋 1-7-1 大丸心斎橋店 B1,34.67392,135.50056,10:00-20:00,Tabelog 3.20（179 則）,"整模約 ¥965（每人 ¥300–1,000）","https://www.google.com/maps/search/?api=1&query=34.67392,135.50056",2026-07-14
105,大丸 B1｜RF1 蔬菜沙拉惣菜,大阪,沙拉・熟食惣菜（B1，外帶）,大丸心斎橋店 B1・心齋橋,大阪市中央区心斎橋筋 1-7-1 大丸心斎橋店 B1,34.67420,135.50068,10:00-20:00,查無（分店無獨立評分）,"每份約 ¥500–1,500","https://www.google.com/maps/search/?api=1&query=34.67420,135.50068",2026-07-14
106,阪急 13F｜おやさいガーデン TIERRA,大阪,野菜創作料理・蔬食定食（阪急 13F）,阪急うめだ本店 13F・梅田,大阪市北区角田町 8-7 阪急うめだ本店 13F,34.70280,135.49849,11:00-22:00（LO21:00）；1/1-1/2 公休,Tabelog 3.47（499 則）,"午 ¥1,000–1,999／晚 ¥3,000–3,999","https://www.google.com/maps/search/?api=1&query=34.70280,135.49849",2026-07-12
107,大丸梅田 B1｜V PALETTE 蔬食熟食,大阪,蔬菜系熟食・便當外帶（大丸梅田 B1）,大丸梅田店 B1・梅田,大阪市北区梅田 3-1-1 大丸梅田店 B1,34.70193,135.49663,10:00-20:00（依百貨，不定休）,Tabelog 3.00（僅 1 則・參考）,"惣菜約 ¥500–1,200／品","https://www.google.com/maps/search/?api=1&query=34.70193,135.49663",2026-07-12
108,LUCUA 10F｜ラヴァーニャ 義式,大阪,義式・Pizza/Pasta（LUCUA 10F）,LUCUA 大阪 10F・梅田（大阪站直結）,大阪市北区梅田 3-1-3 LUCUA 大阪 10F,34.70327,135.49626,午 11:00-15:30／晚 17:00-23:00（LO22:00）,Tabelog 3.38（235 則）,"午 ¥1,000–1,999／晚 ¥2,000–2,999","https://www.google.com/maps/search/?api=1&query=34.70327,135.49626",2026-07-12
109,LUCUA SOUTH 14F｜燦 Grill&Bar,大阪,燒烤＆野菜・義式グリル（LUCUA SOUTH 14F）,LUCUA SOUTH 14F・梅田,大阪市北区梅田 3-1-3 ルクアサウス 14F,34.70290,135.49650,11:00-16:00（LO15:00）／17:00-23:00（LO22:00）,Tabelog 3.45（411 則）,"午 ¥1,000–1,999／晚 ¥4,000–4,999","https://www.google.com/maps/search/?api=1&query=34.70290,135.49650",2026-07-12
110,阪神 9F｜一六茶寮 一汁六菜,大阪,和食・一汁六菜定食（阪神 9F）,阪神梅田本店 9F・梅田,大阪市北区梅田 1-13-13 阪神梅田本店 9F,34.70116,135.49861,11:00-22:00（LO21:00，不定休）,Tabelog 3.44（197 則）,"約 ¥2,000–2,999／人","https://www.google.com/maps/search/?api=1&query=34.70116,135.49861",2026-07-12
111,阪神 9F｜タブロ ラチェルバ 義麵,大阪,義式パスタ・甜點（阪神 9F フードホール）,阪神梅田本店 9F フードホール・梅田,大阪市北区梅田 1-13-13 阪神梅田本店 9F,34.70116,135.49861,11:00-22:00（LO 約 21:00）,Tabelog 3.36（81 則）,"約 ¥1,000–1,999／人","https://www.google.com/maps/search/?api=1&query=34.70116,135.49861",2026-07-12
112,Grand Front B1｜ERICK SOUTH 南印度,大阪,南印度料理・ミールス thali（Grand Front 南館 B1）,Grand Front 大阪 南館 B1・梅田,大阪市北区大深町 3-1 グランフロント大阪 南館 B1,34.70430,135.49555,11:00-22:00（LO21:00，全年無休）,Tabelog 3.32（272 則）,"約 ¥1,000–1,999／人","https://www.google.com/maps/search/?api=1&query=34.70430,135.49555",2026-07-12
113,Grand Front 7F｜BINDU 印度,大阪,印度料理・咖哩/烤餅（Grand Front 南館 7F）,Grand Front 大阪 南館 7F・梅田,大阪市北区大深町 3-1 グランフロント大阪 南館 7F,34.70430,135.49555,平日 11:00-15:30 / 17:00-23:00；六日祝 11:00-23:00,Tabelog 3.36（113 則）,"午 ¥1,000–1,999／晚 ¥2,000–2,999","https://www.google.com/maps/search/?api=1&query=34.70430,135.49555",2026-07-12
114,Grand Front｜Natural House 有機熟食,大阪,有機超市・蔬食熟食デリ・果汁 bar（うめきた広場 B1）,Grand Front 大阪 うめきた広場 B1・梅田,大阪市北区大深町 4-1 グランフロント大阪 うめきた広場 B1,34.70490,135.49505,10:00-22:00（不定休）,Tabelog 3.01（7 則）,"依採購（¥300–1,000）","https://www.google.com/maps/search/?api=1&query=34.70490,135.49505",2026-07-12
115,JR伊勢丹 11F｜京豆腐 不二乃,京都,豆腐・湯葉創作料理（JR伊勢丹 11F）,JR京都伊勢丹 11F・京都駅,京都市下京区烏丸通塩小路下ル JR京都伊勢丹 11F,34.98615,135.75877,11:00-22:00（LO21:15）；公休依伊勢丹,Tabelog 3.47（290 則）,"午 ¥2,000–2,999／晚 ¥6,000–7,999","https://www.google.com/maps/search/?api=1&query=34.98615,135.75877",2026-07-14
116,JR伊勢丹 11F｜松山閣 湯葉懷石,京都,京懷石・湯葉料理（可預約精進）（JR伊勢丹 11F）,JR京都伊勢丹 11F・京都駅,京都市下京区烏丸通塩小路下ル JR京都伊勢丹 11F,34.98605,135.75897,11:00-22:00（LO21:15）；公休依伊勢丹,Tabelog 3.46（311 則）,"午 ¥3,000–3,999／晚 ¥6,000–7,999","https://www.google.com/maps/search/?api=1&query=34.98605,135.75897",2026-07-14
117,京都駅ビル 2F｜京野菜料理 接方来,京都,京野菜料理・個室居酒屋（京都駅ビル 2F）,京都駅ビル 2F・京都駅,京都市下京区烏丸通塩小路下ル 京都駅ビル 2F,34.98585,135.75907,約 11:00-22:00；公休依駅ビル,Tabelog 3.47（431 則）,"午 ¥1,000–1,999／晚 ¥3,000–3,999","https://www.google.com/maps/search/?api=1&query=34.98585,135.75907",2026-07-14
118,京都駅ビル｜中村藤吉 抹茶甜點,京都,宇治茶甜點喫茶（京都駅ビル）,京都駅ビル（西/The CUBE 一帶）・京都駅,京都市下京区烏丸通塩小路下ル 京都駅ビル,34.98565,135.75897,約 11:00-22:00,"Tabelog 3.55（1,437 則）","約 ¥1,000–2,000／人","https://www.google.com/maps/search/?api=1&query=34.98565,135.75897",2026-07-14
119,JR伊勢丹 B2F｜ベジテリア 蔬果汁,京都,現打蔬果汁・湯・沙拉（JR伊勢丹 地下食品街）,JR京都伊勢丹 B2F 食品街・京都駅,京都市下京区烏丸通塩小路下ル JR京都伊勢丹 B2F,34.98555,135.75877,約 10:00-20:00（依伊勢丹）,Tabelog 3.05（18 則）,"約 ¥500–1,000／人","https://www.google.com/maps/search/?api=1&query=34.98555,135.75877",2026-07-14
120,京都ポルタ 11F｜先斗入ル 義麵,京都,京風義大利麵（京都ポルタ 11F）,京都ポルタ 11F ポルタダイニング・京都駅,京都市下京区東塩小路町 902 京都ポルタ 11F,34.98640,135.75860,11:00-22:00,Tabelog 3.08,"約 ¥1,000–1,999／人","https://www.google.com/maps/search/?api=1&query=34.98640,135.75860",2026-07-14
121,大丸京都 8F｜VEGGIE ISO TERRACE,京都,蔬菜熟食・沙拉吧・BBQ（大丸京都 8F）,大丸京都店 8F・四条高倉,京都市下京区四条通高倉西入立売西町 79 大丸京都店 8F,35.00459,135.76196,11:00-23:00（food LO22:00）,查無（大丸官方餐飲頁）,"午 ¥2,000–3,000／晚 ¥4,000–5,000","https://www.google.com/maps/search/?api=1&query=35.00459,135.76196",2026-07-14
122,大丸京都 8F｜LA RISOTTERIA 燉飯,京都,義式燉飯・義大利麵（大丸京都 8F）,大丸京都店 8F・四条高倉,京都市下京区四条通高倉西入立売西町 79 大丸京都店 8F,35.00439,135.76216,11:00-22:00,查無（大丸官方餐飲頁）,"約 ¥1,500–2,500／人","https://www.google.com/maps/search/?api=1&query=35.00439,135.76216",2026-07-14
123,大丸京都 3F｜HARBS 蛋糕,京都,蛋糕・咖啡（水果千層）（大丸京都 3F）,大丸京都店 3F・四条高倉,京都市下京区四条通高倉西入立売西町 79 大丸京都店 3F,35.00419,135.76196,約 10:00-20:00（依大丸）,查無（官方頁）,"約 ¥1,000–2,000／人","https://www.google.com/maps/search/?api=1&query=35.00419,135.76196",2026-07-14
124,髙島屋 T8｜LINA STORES 義麵,京都,義大利手工新鮮パスタ（T8 1F）,京都髙島屋 S.C. T8 1F・四条河原町,京都市下京区四条通河原町西入真町 52 T8,35.00340,135.76851,約 11:00-23:00（依 T8）,查無（T8 官方）,"約 ¥2,000–3,000／人","https://www.google.com/maps/search/?api=1&query=35.00340,135.76851",2026-07-14
125,髙島屋 T8｜進々堂 麵包,京都,麵包・咖啡（京都 1913 創業）（T8 B1）,京都髙島屋 S.C. T8 B1・四条河原町,京都市下京区四条通河原町西入真町 52 T8 B1,35.00320,135.76871,依 T8（約 10:00-20:00）,查無（T8 官方）,"約 ¥500–1,500／人","https://www.google.com/maps/search/?api=1&query=35.00320,135.76871",2026-07-14
126,髙島屋 T8｜GRANNY SMITH 蘋果派,京都,蘋果派・咖啡（T8 B1）,京都髙島屋 S.C. T8 B1・四条河原町,京都市下京区四条通河原町西入真町 52 T8 B1,35.00300,135.76851,依 T8,查無（T8 官方）,"約 ¥800–1,500／人","https://www.google.com/maps/search/?api=1&query=35.00300,135.76851",2026-07-14
127,玄米カフェ 実身美 あべの店,大阪,有機玄米健康食堂｜蔬食友善,阿倍野・阿倍野區（獨立店面・阿倍野駅步行 2 分）,大阪市阿倍野区阿倍野筋 2-4-39,34.64295,135.51233,11:00-21:00（LO20:30）；週日公休,Tabelog 3.47（370 則）,"約 ¥1,200–1,600／人","https://www.google.com/maps/search/?api=1&query=34.64295,135.51233",2026-07-12
128,玄三庵 天王寺MIO店,大阪,健康野菜食堂｜蔬食友善,天王寺・天王寺區（天王寺MIO プラザ館 4F）,大阪市天王寺区悲田院町 10-48 天王寺MIO プラザ館 4F,34.64773,135.51366,11:00-22:00（隨 MIO）,Tabelog 3.36（244 則）,"約 ¥1,000–1,999／人","https://www.google.com/maps/search/?api=1&query=34.64773,135.51366",2026-07-12
129,MOKUMOKU お日さまのえがお（HARUKAS）,大阪,農場野菜自助餐 buffet｜蔬食友善,阿倍野・阿倍野區（あべのハルカス タワー館 13F）,大阪市阿倍野区阿倍野筋 1-1-43 あべのハルカス近鉄本店 タワー館 13F,34.64598,135.51369,平日 11:00-16:00 / 17:00-22:00；假日至 22:00（不定休）,Tabelog 3.42（235 則）,"午 ¥2,400／晚 ¥2,900（吃到飽）","https://www.google.com/maps/search/?api=1&query=34.64598,135.51369",2026-07-12
